Use-case,Industry,Commercial name,Chemical Name,Chemical Formula,Tensile Strength (MPa),Yield Strength (MPa),Density (g/cm³),Thermal Conductivity (W/m·K),Property Overlap
Aircraft engine mounting bolts,Aerospace,Ti-6Al-4V (Grade 5),Alpha-Beta Titanium Alloy,Ti-6Al-4V,950,880,4.43,6.7,"High strength-to-weight ratio, Excellent fatigue resistance, Temperature stability up to 400°C"
Wing attachment fasteners,Aerospace,Ti-6Al-4V (Grade 5),Alpha-Beta Titanium Alloy,Ti-6Al-4V,950,880,4.43,6.7,"Excellent corrosion resistance, High fatigue strength, Galvanic compatibility with carbon composites"
Landing gear bolts,Aerospace,Ti-10V-2Fe-3Al,Beta Titanium Alloy,Ti-10V-2Fe-3Al,1240,1170,4.65,7.2,"Superior strength, Excellent fatigue resistance, Good fracture toughness"
Fuselage structural rivets,Aerospace,Ti-3Al-2.5V,Alpha-Beta Titanium Alloy,Ti-3Al-2.5V,620,520,4.48,8.3,"Good formability, Corrosion resistance, Compatible with aluminum structures"
Engine turbine assembly screws,Aerospace,Ti-6Al-2Sn-4Zr-2Mo,Near-Alpha Titanium Alloy,Ti-6Al-2Sn-4Zr-2Mo,950,860,4.54,6.8,"High temperature stability, Creep resistance, Oxidation resistance up to 550°C"
Tail section fasteners,Aerospace,Ti-5Al-2.5Sn,Alpha Titanium Alloy,Ti-5Al-2.5Sn,790,760,4.48,7.8,"Excellent weldability, Good cryogenic properties, Corrosion resistance"
Helicopter rotor hub fasteners,Aerospace,Ti-6Al-6V-2Sn,Alpha-Beta Titanium Alloy,Ti-6Al-6V-2Sn,1170,1100,4.54,6.6,"High strength at elevated temperatures, Excellent fatigue resistance, Vibration damping"
Jet engine compressor bolts,Aerospace,Ti-8Al-1Mo-1V,Alpha Titanium Alloy,Ti-8Al-1Mo-1V,950,890,4.37,7.0,"High temperature strength, Good creep resistance, Oxidation resistance"
Fuel system mounting brackets,Aerospace,Ti-3Al-2.5V,Alpha-Beta Titanium Alloy,Ti-3Al-2.5V,620,520,4.48,8.3,"Fuel compatibility, Corrosion resistance, Non-sparking properties"
Control surface hinge pins,Aerospace,Ti-5Al-5Mo-5V-3Cr,Near-Beta Titanium Alloy,Ti-5Al-5Mo-5V-3Cr,1250,1180,4.65,6.8,"Ultra-high strength, Good fracture toughness, Excellent fatigue life"
Bulkhead tie rods,Aerospace,Ti-15V-3Cr-3Sn-3Al,Beta Titanium Alloy,Ti-15V-3Cr-3Sn-3Al,1200,1105,4.76,8.1,"High strength fastener material, Superior hydrogen embrittlement resistance, Good corrosion resistance"
Nacelle attachment bolts,Aerospace,Ti-6Al-4V (Grade 5),Alpha-Beta Titanium Alloy,Ti-6Al-4V,950,880,4.43,6.7,"Lightweight strength, Fatigue resistance, Galvanic compatibility with composites"
Pressure bulkhead fasteners,Aerospace,Ti-5553,Beta Titanium Alloy,Ti-5Al-5Mo-5V-3Cr,1250,1180,4.65,6.8,"Ultra-high strength, Deep hardenability, Excellent fatigue resistance under pressure cycling"
Satellite deployment mechanisms,Aerospace,Ti-6Al-4V (Grade 5),Alpha-Beta Titanium Alloy,Ti-6Al-4V,950,880,4.43,6.7,"Low outgassing properties, Thermal stability in vacuum, Non-magnetic characteristics"
Space vehicle heat shield fasteners,Aerospace,Ti-6242S,Near-Alpha Titanium Alloy,Ti-6Al-2Sn-4Zr-2Mo-0.1Si,960,870,4.54,6.8,"High temperature stability, Creep resistance, Thermal cycling durability"
Rocket engine mounting hardware,Aerospace,Ti-5Al-2.5Sn,Alpha Titanium Alloy,Ti-5Al-2.5Sn,790,760,4.48,7.8,"Cryogenic performance, Thermal shock resistance, Hydrogen compatibility"
Aircraft door hinge bolts,Aerospace,Ti-3-8-6-4-4 (SP-700),Alpha-Beta Titanium Alloy,Ti-3Al-8V-6Cr-4Mo-4Zr,1200,1100,4.68,7.5,"Excellent cold formability, High strength, Corrosion resistance in marine environments"
Composite panel fasteners,Aerospace,Ti-6Al-4V (Grade 5),Alpha-Beta Titanium Alloy,Ti-6Al-4V,950,880,4.43,6.7,"Galvanic compatibility with carbon fiber, Lightweight, Corrosion resistance"
Auxiliary power unit mounts,Aerospace,Ti-17,Alpha-Beta Titanium Alloy,Ti-5Al-2Sn-2Zr-4Mo-4Cr,1170,1100,4.65,7.1,"High strength at elevated temperatures, Good fracture toughness, Vibration damping"
Thrust reverser fasteners,Aerospace,Ti-6Al-2Sn-4Zr-2Mo,Near-Alpha Titanium Alloy,Ti-6Al-2Sn-4Zr-2Mo,950,860,4.54,6.8,"High temperature stability, Fatigue resistance, Thermal cycling durability"
