Use-case,Industry,Commercial name,Chemical Name,Chemical Formula,Tensile Strength (MPa),Yield Strength (MPa),Density (g/cm³),Thermal Conductivity (W/m·K),Property Overlap,certifications,lca_carbon_footprint,lca_water_usage,lca_energy,recycled_content,renewable_content,supply_chain_transparency,cert_tier1,cert_tier2,cert_tier3,manufacturing_processes,manufacturing_complexity,min_feature_size,achievable_tolerance,anisotropy_concern,specialized_equipment_needed,process_maturity,design_considerations,typical_defects
Jet engine exhaust systems,Aerospace,Inconel 625,Nickel-based superalloy,Ni-Cr-Mo-Nb alloy,827–1034,414–517,8.40-8.48,9.8–11.4,"High-temperature resistance, Oxidation resistance, Excellent corrosion resistance","ISO 14001, AS9100D",28.5,25.2,32.3,65,25,92,"Cradle to Cradle","ISO 14001, AS9100D","EPD, HPD","CNC machining, Precision forging, Welding, Heat treatment",High,0.5mm,±0.025mm,Yes,Yes,"High - widely available","Requires stress relief heat treatment at 980°C. Minimum bend radius 2x material thickness.","Residual stress, Hot cracking"
Turbine blades and discs,Aerospace,Inconel 718,Nickel-based superalloy,Ni-Cr-Fe-Nb-Mo-Ti-Al alloy,1034–1380,758–1034,8.15-8.22,11.2-11.6,"High-temperature strength, Fatigue resistance, Excellent creep resistance","AS9100D, ISO 14001",32.1,28.7,35.2,60,20,90,"Cradle to Cradle","AS9100D, ISO 14001","EPD","Precision casting, 5-axis CNC, DMLS, Heat treatment",High,0.3mm,±0.015mm,Significant,Yes,"High - widely available","Requires solution annealing at 980°C followed by double aging. Critical cooling rates must be maintained.","Segregation, Laves phase, Porosity"
Combustion liners and spray bars,Aerospace,Inconel 625,Nickel-based superalloy,Ni-Cr-Mo-Nb alloy,827–1034,414–517,8.40-8.48,9.8–11.4,"Thermal stability, Oxidation resistance, Hot gas corrosion resistance","AS9100D, ISO 14001",29.2,26.5,33.8,62,22,94,"Cradle to Cradle","AS9100D, ISO 14001","EPD, HPD","Additive manufacturing, Sheet forming, Brazing, Heat treatment",Medium,0.4mm,±0.020mm,Yes,Yes,"Medium - limited suppliers","Complex geometries require support structures during AM. Multi-stage heat treatment essential.","Thermal distortion, Lack of fusion"
Engine thrust-reverser systems,Aerospace,Inconel 718,Nickel-based superalloy,Ni-Cr-Fe-Nb-Mo-Ti-Al alloy,1034–1380,758–1034,8.15-8.22,11.2-11.6,"High strength-to-weight ratio, Thermal durability, Fatigue resistance","AS9100D, NADCAP",31.5,27.8,34.9,58,18,88,"Cradle to Cradle","AS9100D, NADCAP","EPD","CNC machining, Sheet forming, Welding, Heat treatment",Medium,1.0mm,±0.050mm,No,No,"High - widely available","Requires uniform wall thickness for consistent heat treatment. Avoid sharp corners (min radius 3mm).","Distortion, Incomplete penetration welds"
Aircraft ducting systems,Aerospace,Inconel 625,Nickel-based superalloy,Ni-Cr-Mo-Nb alloy,827–1034,414–517,8.40-8.48,9.8–11.4,"Corrosion resistance, Formability, High-temperature stability","AS9100D, ISO 14001",27.8,24.3,31.5,64,24,93,"Cradle to Cradle","AS9100D, ISO 14001","EPD, HPD","Roll forming, Welding, Hydroforming, Heat treatment",Medium,0.8mm,±0.040mm,No,No,"High - widely available","Design for uniform wall thickness. Incorporate expansion bellows for thermal cycling.","Weld defects, Springback"
Turbine shroud rings,Aerospace,Inconel 718,Nickel-based superalloy,Ni-Cr-Fe-Nb-Mo-Ti-Al alloy,1034–1380,758–1034,8.15-8.22,11.2-11.6,"Dimensional stability, High-temperature strength, Wear resistance","AS9100D, NADCAP",33.2,29.4,36.1,59,19,91,"Cradle to Cradle","AS9100D, NADCAP","EPD","CNC machining, EDM, Precision grinding, Heat treatment",High,0.2mm,±0.010mm,No,Yes,"High - widely available","Requires stabilizing heat treatment for dimensional stability. Allow for grinding stock of min 0.3mm.","Metallurgical recast layer, Tool wear"
Heat exchanger tubing,Power Generation,Inconel 625,Nickel-based superalloy,Ni-Cr-Mo-Nb alloy,827–1034,414–517,8.40-8.48,9.8–11.4,"Thermal conductivity, Corrosion resistance, Long service life","ISO 14001, ASME",26.3,22.8,30.1,67,26,95,"Cradle to Cradle","ISO 14001, ASME","EPD, HPD","Tube drawing, TIG welding, Heat treatment",Medium,1.0mm,±0.060mm,No,No,"High - widely available","Minimum bend radius 3x tube diameter. Controlled atmosphere heat treatment recommended.","Weld inconsistency, Material thinning"
Marine exhaust systems,Marine,Inconel 625,Nickel-based superalloy,Ni-Cr-Mo-Nb alloy,827–1034,414–517,8.40-8.48,9.8–11.4,"Salt water corrosion resistance, Thermal cycling durability, Oxidation resistance","ISO 14001, IACS",25.9,22.1,29.5,68,27,94,"Cradle to Cradle","ISO 14001, IACS","EPD, HPD","Sheet forming, Welding, Heat treatment",Medium,0.8mm,±0.050mm,No,No,"High - widely available","Design for thermal expansion with flexible joints. Incorporate drain points to prevent condensate buildup.","Galvanic corrosion, Weld heat-affected zone weakening"
Chemical processing equipment,Chemical,Inconel 625,Nickel-based superalloy,Ni-Cr-Mo-Nb alloy,827–1034,414–517,8.40-8.48,9.8–11.4,"Chemical resistance, Stress-corrosion cracking resistance, High temperature stability","ISO 14001, ASME",27.1,23.5,30.8,66,25,92,"Cradle to Cradle","ISO 14001, ASME","EPD, HPD","Forging, CNC machining, Welding, Heat treatment",High,0.6mm,±0.030mm,No,Yes,"High - widely available","All welds must be fully penetrated and inspected. Design for chemical cleanability and inspection access.","Intergranular attack, Stress corrosion cracking"
Nuclear reactor components,Nuclear,Inconel 718,Nickel-based superalloy,Ni-Cr-Fe-Nb-Mo-Ti-Al alloy,1034–1380,758–1034,8.15-8.22,11.2-11.6,"Radiation resistance, High strength, Thermal stability","ASME, ISO 14001",34.5,30.9,37.3,55,17,89,"Cradle to Cradle","ASME, ISO 14001","EPD","Precision machining, Electron beam welding, Heat treatment",High,0.3mm,±0.010mm,No,Yes,"Medium - limited suppliers","Design for radiation effects. All processing steps must maintain traceability and material certification.","Helium embrittlement, Neutron-induced swelling"
