Name,Country,Region,Materials,Certifications,Rating,Response Time,On-Time Delivery,Quality Score,Founded,Annual Revenue,Website,Email,Phone,Address,Latitude,Longitude,Specialties,Minimum Order,Lead Time
BASF SE,Germany,Europe,"Polymers, Chemicals, Catalysts","ISO 9001, ISO 14001, REACH",4.8,24,98%,4.9,1865,78.6B,www.basf.com,info@basf.com,+49 621 600,Carl-Bosch-Straße 38 67056 Ludwigshafen,49.4959,8.4333,"Engineering Plastics, Specialty Chemicals",10000,14
DuPont,USA,North America,"Advanced Materials, Polymers, Composites","ISO 9001, AS9100, IATF 16949",4.7,48,96%,4.8,1802,21.5B,www.dupont.com,contact@dupont.com,+1 302-774-1000,974 Centre Road Wilmington DE 19805,39.7459,-75.5466,"High-Performance Materials, Specialty Products",5000,21
Mitsubishi Chemical,Japan,Asia,"Engineering Plastics, Composites, Films","ISO 9001, ISO 14001, JIS",4.6,36,97%,4.7,1933,32.3B,www.m-chemical.co.jp,info@m-chemical.co.jp,+81 3-6748-7300,1-1 Marunouchi 1-chome Chiyoda-ku Tokyo,35.6812,139.7671,"Advanced Materials, Sustainable Solutions",8000,18
Covestro AG,Germany,Europe,"Polyurethanes, Polycarbonates","ISO 9001, ISO 14001, REACH",4.7,24,98%,4.8,2015,15.9B,www.covestro.com,info@covestro.com,+49 214 60099999,Kaiser-Wilhelm-Allee 60 51373 Leverkusen,51.0333,6.9833,"High-Tech Polymers, Sustainable Materials",15000,28
Toray Industries,Japan,Asia,"Carbon Fiber, Advanced Fibers, Textiles","ISO 9001, AS9100, JIS",4.8,48,95%,4.9,1926,22.1B,www.toray.com,info@toray.co.jp,+81 3-3245-5111,Nihonbashi Mitsui Tower 1-1 Nihonbashi-Muromachi 2-chome Tokyo,35.6895,139.7743,"Advanced Composites, Technical Textiles",20000,30
LyondellBasell,Netherlands,Europe,"Polymers, Petrochemicals","ISO 9001, ISO 14001, REACH",4.6,36,96%,4.7,1985,34.7B,www.lyondellbasell.com,info@lyondellbasell.com,+31 10 275 5500,Delftseplein 27E 3013 AA Rotterdam,51.9244,4.4777,"Plastics, Chemicals",25000,21
Solvay SA,Belgium,Europe,"Specialty Polymers, Composites","ISO 9001, AS9100, REACH",4.7,24,97%,4.8,1863,12.7B,www.solvay.com,info@solvay.com,+32 2 264 2111,Rue de Ransbeek 310 1120 Brussels,50.8969,4.3387,"Advanced Materials, Specialty Chemicals",12000,25
Teijin Limited,Japan,Asia,"Carbon Fiber, Aramid Fibers","ISO 9001, AS9100, JIS",4.7,36,96%,4.8,1918,8.5B,www.teijin.com,info@teijin.co.jp,+81 3-3506-4529,Kasumigaseki Common Gate West Tower Tokyo,35.6738,139.7531,"High-Performance Fibers, Composites",15000,28
Sabic,Saudi Arabia,Middle East,"Polymers, Chemicals, Specialties","ISO 9001, ISO 14001, REACH",4.6,48,95%,4.7,1976,45.1B,www.sabic.com,info@sabic.com,+966 11 225 8000,PO Box 5101 Riyadh 11422,24.6877,46.7219,"Engineering Plastics, Chemicals",30000,35
Evonik Industries,Germany,Europe,"Specialty Chemicals, Advanced Materials","ISO 9001, ISO 14001, REACH",4.7,24,97%,4.8,2007,15.1B,www.evonik.com,info@evonik.com,+49 201 177-01,Rellinghauser Straße 1-11 45128 Essen,51.4382,7.0012,"Specialty Materials, Performance Materials",10000,21
Arkema,France,Europe,"Performance Materials, Adhesives","ISO 9001, ISO 14001, REACH",4.6,36,96%,4.7,2004,9.7B,www.arkema.com,info@arkema.com,+33 1 49 00 80 80,420 rue d'Estienne d'Orves 92700 Colombes,48.9184,2.2477,"Specialty Materials, Coatings",8000,25
Sumitomo Chemical,Japan,Asia,"Petrochemicals, Advanced Materials","ISO 9001, ISO 14001, JIS",4.7,48,95%,4.8,1913,23.3B,www.sumitomo-chem.co.jp,contact@sumitomo-chem.co.jp,+81 3-5543-5500,27-1 Shinkawa 2-chome Chuo-ku Tokyo,35.6785,139.7825,"Fine Chemicals, Advanced Materials",20000,30
Huntsman Corporation,USA,North America,"Polyurethanes, Advanced Materials","ISO 9001, ISO 14001, REACH",4.6,36,96%,4.7,1970,8.5B,www.huntsman.com,info@huntsman.com,+1 281-719-6000,10003 Woodloch Forest Dr The Woodlands TX,30.1577,-95.4766,"Performance Products, Advanced Materials",15000,28
Eastman Chemical,USA,North America,"Specialty Materials, Chemicals","ISO 9001, ISO 14001, REACH",4.7,24,97%,4.8,1920,10.6B,www.eastman.com,info@eastman.com,+1 423-229-2000,200 South Wilcox Drive Kingsport TN,36.5484,-82.5618,"Specialty Plastics, Advanced Materials",12000,21
