Use case,Industry,Commercial Name,Chemical Name,Chemical Formula,Density (g/cm3),Melting Point (C),Refractive Index,Property Overlap,Reference,Paint Type
Red pigment for automotive finishes,Automotive,Vibrance Collection VWM5556,Quinacridone Red,C20H12N2O2,1.35-1.40,300-1000,1.68-1.70,High tinting strength; lightfastness; chemical stability,https://en.wikipedia.org/wiki/Quinacridone#Pigment_Red_122,Pigment
Yellow pigment for industrial coatings,Industrial,PPG HI-TEMP 1027,Bismuth Vanadate,BiVO4,6.1-6.5,400-1000,2.3-2.4,High opacity; heat stability; weather resistance,https://en.wikipedia.org/wiki/Bismuth_vanadate,Pigment
Green pigment for marine coatings,Marine,SeaGuard 6000,Chromium Oxide Green,Cr2O3,5.15-5.25,2400-2450,2.5-2.6,Chemical resistance; UV stability; opacity,https://en.wikipedia.org/wiki/Chromium(III)_oxide,Pigment
Orange pigment for decorative paints,Decorative,AURA Color Stories,Benzimidazolone Orange,C17H12N4O5,1.4-1.6,300-1000,1.7-1.8,Bright hue; lightfastness; chemical stability,https://en.wikipedia.org/wiki/Benzimidazolone,Pigment
Violet pigment for artist paints,Art Supplies,Winsor Violet (Dioxazine),Dioxazine Violet,C34H22Cl2N4O2,1.3-1.4,300-1000,1.6-1.7,High chroma; transparency; lightfastness,https://en.wikipedia.org/wiki/Dioxazine,Pigment
Brown pigment for wood stains,Wood Finishes,Transparent Iron Oxide Brown,Iron Oxide Hydroxide,FeO(OH),3.4-3.9,,2.2-2.4,Transparency; UV stability; natural appearance,https://pubs.usgs.gov/fs/2009/3089/pdf/FS09-3089.pdf,Pigment
Black pigment for automotive coatings,Automotive,Carbon Black,Amorphous Carbon,C,1.8-2.1,3500-10000,2.4-2.6,High jetness; UV stability; conductivity,https://en.wikipedia.org/wiki/Carbon_black,Pigment
White pigment for reflective coatings,Industrial,Zinc Oxide,Zinc Oxide,ZnO,5.4-5.9,1950-2000,2.0-2.1,UV protection; fungicidal properties; brightness,https://en.wikipedia.org/wiki/Zinc_oxide,Pigment
Metallic effect pigment for automotive,Automotive,PPG Liquid Metal,Aluminum Flake,Al,2.5-2.8,650-680,,Metallic luster; opacity; corrosion resistance,https://en.wikipedia.org/wiki/Aluminium_powder,Pigment
Pearlescent effect for decorative finishes,Decorative,Iriodin,Mica coated with Titanium Dioxide,Varies,2.7-3.0,600-900,1.56-1.60,Pearlescent luster; transparency; stability,https://en.wikipedia.org/wiki/Pearlescent_pigment,Pigment
Blue pigment for industrial coatings,Industrial,Ultramarine Blue,Sodium Aluminosilicate Sulfide,Na6Al6Si6O24S4,2.35,1000-10000,1.5-1.6,Bright blue hue; lightfastness; heat stability,https://en.wikipedia.org/wiki/Ultramarine,Pigment
Yellow pigment for traffic markings,Transportation,Lead Chromate,Lead(II) Chromate,PbCrO4,6.12,844,2.3-2.5,High visibility; durability; weather resistance,https://en.wikipedia.org/wiki/Lead(II)_chromate,Pigment
Red pigment for industrial coatings,Industrial,PR 254,Diketopyrrolopyrrole Red,C18H10Cl2N2O2,1.5-1.6,300-1000,1.7-1.8,High chroma; lightfastness; chemical stability,https://en.wikipedia.org/wiki/Diketopyrrolopyrrole,Pigment
Green pigment for camouflage coatings,Military,PPG MIL-DTL-64159,Phthalocyanine Green,C32H16Cl8CuN8,1.7-1.9,300-1000,1.6-1.7,Low reflectance; chemical stability; durability,https://en.wikipedia.org/wiki/Phthalocyanine_Green,Pigment
Yellow pigment for artist paints,Art Supplies,Cadmium Yellow,Cadmium Sulfide,CdS,4.50-4.90,1700-1800,2.5-2.7,High opacity; lightfastness; warm hue,https://en.wikipedia.org/wiki/Cadmium_sulfide,Pigment
Blue pigment for ceramics and high-heat coatings,Ceramics,Cobalt Blue,Cobalt(II) Aluminate,CoAl2O4,6.0-6.2,1940-1980,1.76-1.80,High temperature resistance; color stability; opacity,https://en.wikipedia.org/wiki/Cobalt_blue,Pigment
Red pigment for plastics and automotive,Automotive,Hostaperm Red E5B,Perylene Red,C40H20N2O4,1.4-1.6,300-1000,1.75-1.85,Weather resistance; chemical inertness; high tinting strength,https://en.wikipedia.org/wiki/Perylene,Pigment
