Supplier ID,Supplier Name,Material ID,Material Type,Geolocation,Contact Info,Availability,Cost Range,Rating,Certifications
S8651,Supplier I,M1105,Element,USA,contact_6831@example.com,In Stock,69.44-470.27 USD,4.9,CE
S9599,Supplier E,M1105,Element,Germany,contact_5838@example.com,Limited,98.54-234.96 USD,2.9,None
S9352,Supplier G,M1105,Custom,USA,contact_9773@example.com,In Stock,72.01-205.86 USD,2.4,ISO 14001
S3525,Supplier I,M1105,Compound,USA,contact_6996@example.com,Out of Stock,77.69-445.46 USD,1.9,RoHS
S2126,Supplier K,M1787,Compound,USA,contact_5327@example.com,Limited,87.12-167.69 USD,1.7,RoHS
S7348,Supplier P,M1787,Custom,Germany,contact_7961@example.com,Limited,74.05-291.52 USD,3.4,RoHS
S3547,Supplier N,M1787,Compound,Australia,contact_1275@example.com,Out of Stock,54.73-464.86 USD,3.9,ISO 14001
S8688,Supplier Q,M1787,Element,India,contact_6197@example.com,Out of Stock,54.11-350.55 USD,4.7,ISO 14001
S2460,Supplier J,M1787,Custom,Australia,contact_9703@example.com,Out of Stock,81.65-167.48 USD,1.1,None
S3809,Supplier P,M1787,Element,Japan,contact_8535@example.com,Limited,85.63-373.16 USD,3.7,None
S7413,Supplier G,M1833,Element,USA,contact_2409@example.com,In Stock,50.15-297.08 USD,1.9,ISO 14001
S6128,Supplier K,M1833,Compound,Japan,contact_9754@example.com,In Stock,72.0-309.28 USD,2.7,None
S6501,Supplier O,M1833,Compound,Australia,contact_9016@example.com,Out of Stock,84.99-135.54 USD,3.5,None
S3871,Supplier F,M1833,Custom,Germany,contact_9585@example.com,In Stock,83.33-403.25 USD,2.3,None
S7115,Supplier F,M1833,Custom,Germany,contact_6655@example.com,Out of Stock,38.89-451.48 USD,3.8,None
S5481,Supplier D,M1833,Element,Japan,contact_8244@example.com,In Stock,81.1-150.81 USD,5.0,ISO 9001
S4892,Supplier N,M1846,Element,Japan,contact_8504@example.com,Out of Stock,78.25-124.37 USD,2.7,None
S7381,Supplier O,M1846,Compound,India,contact_2076@example.com,In Stock,11.28-199.15 USD,3.0,None
S3784,Supplier G,M1846,Compound,Australia,contact_5611@example.com,Limited,31.89-222.13 USD,1.4,ISO 9001
S4110,Supplier K,M1846,Custom,Australia,contact_3813@example.com,In Stock,61.85-210.15 USD,2.9,RoHS
S6158,Supplier I,M1976,Compound,India,contact_5557@example.com,Out of Stock,15.06-104.99 USD,2.7,RoHS
S5510,Supplier H,M1976,Custom,USA,contact_4392@example.com,Limited,50.01-423.2 USD,1.5,CE
S9565,Supplier E,M1976,Custom,Germany,contact_3002@example.com,Limited,66.66-174.91 USD,3.4,CE
S3130,Supplier F,M1604,Compound,USA,contact_6249@example.com,Limited,19.58-170.87 USD,1.8,CE
S6720,Supplier R,M1604,Element,USA,contact_6209@example.com,Limited,53.65-474.86 USD,3.1,ISO 9001
S9197,Supplier C,M1604,Custom,Japan,contact_4921@example.com,In Stock,98.85-350.78 USD,3.0,ISO 9001
S2232,Supplier I,M1604,Element,USA,contact_3898@example.com,Out of Stock,63.92-403.32 USD,2.1,ISO 9001
S2740,Supplier B,M1604,Element,Australia,contact_8645@example.com,Limited,66.89-291.96 USD,4.5,CE
S9454,Supplier S,M1009,Compound,Japan,contact_3019@example.com,In Stock,12.9-432.49 USD,3.6,RoHS
S6328,Supplier E,M1009,Custom,India,contact_3749@example.com,Out of Stock,22.99-132.2 USD,4.3,ISO 9001
S6349,Supplier S,M1009,Compound,Germany,contact_1673@example.com,In Stock,35.6-176.48 USD,3.0,ISO 9001
S2826,Supplier C,M1009,Custom,India,contact_9062@example.com,Limited,68.03-418.39 USD,4.7,CE
S8978,Supplier F,M1009,Custom,Japan,contact_4182@example.com,In Stock,76.2-353.6 USD,2.0,CE
S3868,Supplier K,M1434,Element,India,contact_9746@example.com,Out of Stock,86.78-337.52 USD,1.3,RoHS
S9904,Supplier K,M1434,Element,Germany,contact_7752@example.com,In Stock,46.44-313.7 USD,3.3,None
S5104,Supplier C,M1434,Element,Germany,contact_3973@example.com,Out of Stock,60.64-131.47 USD,2.2,RoHS
S6825,Supplier R,M1434,Element,Japan,contact_2282@example.com,Limited,48.61-424.57 USD,2.5,CE
S7173,Supplier T,M1700,Element,Australia,contact_5464@example.com,Out of Stock,37.43-316.22 USD,1.7,RoHS
S7523,Supplier F,M1700,Compound,Australia,contact_7229@example.com,In Stock,98.83-134.23 USD,3.3,None
S4359,Supplier J,M1700,Compound,USA,contact_3576@example.com,Out of Stock,44.97-351.55 USD,4.3,ISO 14001
S2726,Supplier R,M1700,Custom,Japan,contact_7783@example.com,Limited,65.62-265.87 USD,3.4,None
S3258,Supplier A,M1700,Custom,USA,contact_3948@example.com,Out of Stock,69.31-354.94 USD,4.3,CE
S6132,Supplier C,M1700,Element,Australia,contact_8003@example.com,Limited,69.3-298.83 USD,1.3,RoHS
S5873,Supplier N,M1566,Element,India,contact_9941@example.com,Out of Stock,60.1-289.85 USD,3.8,None
S3072,Supplier B,M1566,Element,USA,contact_8242@example.com,Out of Stock,89.62-108.95 USD,4.0,None
S9929,Supplier I,M1566,Compound,Australia,contact_6151@example.com,Out of Stock,94.2-216.88 USD,3.3,CE
S4437,Supplier I,M1566,Compound,Japan,contact_8225@example.com,Limited,42.68-175.57 USD,4.6,RoHS
S8205,Supplier D,M1926,Compound,USA,contact_6130@example.com,Out of Stock,41.89-108.84 USD,4.8,None
S3832,Supplier A,M1926,Compound,Japan,contact_4410@example.com,In Stock,44.57-264.01 USD,1.7,ISO 9001
S5485,Supplier B,M1926,Custom,Germany,contact_8769@example.com,Limited,45.11-339.02 USD,5.0,RoHS
S4592,Supplier K,M1926,Element,Japan,contact_3550@example.com,Out of Stock,33.96-402.69 USD,1.1,CE
S7251,Supplier O,M1546,Element,Japan,contact_8414@example.com,Out of Stock,96.93-370.31 USD,3.6,ISO 9001
S9537,Supplier R,M1546,Compound,USA,contact_3466@example.com,In Stock,30.2-186.62 USD,3.4,RoHS
S1122,Supplier L,M1546,Element,Australia,contact_9002@example.com,In Stock,24.65-384.08 USD,4.2,ISO 9001
S3270,Supplier G,M1301,Element,Japan,contact_4482@example.com,Limited,55.65-270.51 USD,1.2,CE
S2011,Supplier A,M1301,Element,Australia,contact_7493@example.com,Out of Stock,63.39-120.9 USD,5.0,RoHS
S6775,Supplier F,M1301,Element,India,contact_2342@example.com,In Stock,48.42-328.24 USD,5.0,CE
