Use-case,Industry,Commercial name,Chemical Name,Chemical Formula,Tensile Strength (MPa),Yield Strength (MPa),Density (g/cm³),Thermal Conductivity (W/m·K),Property Overlap
Permanent magnets for electric motors,Electronics,BaM-100,Barium Hexaferrite,BaFe12O19,65,55,5.28,2.3,"High coercivity, Excellent chemical stability, Temperature stability up to 450°C"
High-density magnetic recording media,Data Storage,BaM-HD,High-Density Barium Ferrite,BaFe12O19,72,60,5.35,2.1,"Superior magnetic anisotropy, High data retention, Excellent corrosion resistance"
Microwave absorbing materials,Telecommunications,BaM-Nano,Nanostructured Barium Ferrite,BaFe12O19,58,48,5.20,2.5,"Enhanced electromagnetic wave absorption, Superparamagnetic properties, Wide frequency range absorption"
RFID tag components,IoT,BaCoTi-M,Cobalt-Titanium Substituted Barium Ferrite,BaFe10Co1Ti1O19,68,57,5.32,2.2,"Tunable magnetic properties, Enhanced permeability, Optimized for 13.56 MHz applications"
EMI shielding in electronic devices,Consumer Electronics,BaAlZn-M,Aluminum-Zinc Substituted Barium Ferrite,BaFe10Al1Zn1O19,63,53,5.25,2.4,"Controlled magnetic anisotropy, Enhanced EMI absorption, Broad frequency range effectiveness"
MRI contrast agents,Medical,BaM-Nano,Nanostructured Barium Ferrite,BaFe12O19,58,48,5.20,2.5,"Biocompatible magnetic properties, High contrast enhancement, Controlled biodistribution"
Magnetic sensors in automotive systems,Automotive,BaM-SR,Strontium-Doped Barium Ferrite,Ba0.8Sr0.2Fe12O19,64,54,5.23,2.3,"Temperature stability, Enhanced magnetic sensitivity, Vibration resistance"
Magnetic separation in wastewater treatment,Environmental,BaM-LT,Low-Temperature Sintered Barium Ferrite,BaFe12O19,60,50,5.15,2.5,"Chemical stability in aqueous environments, High magnetic gradient capability, Reusable separation properties"
Radar absorbing materials for stealth technology,Defense,BaLa-M,Lanthanum-Substituted Barium Ferrite,Ba0.9La0.1Fe12O19,67,56,5.30,2.2,"Enhanced radar wave absorption, Broadband frequency coverage, Lightweight compared to metal alternatives"
Magnetic components in satellite communications,Aerospace,BaNd-M,Neodymium-Substituted Barium Ferrite,Ba0.85Nd0.15Fe12O19,69,58,5.33,2.2,"Radiation resistance, Thermal stability in space environment, Low outgassing properties"
Magnetic refrigeration systems,Energy,BaMn-M,Manganese-Substituted Barium Ferrite,BaFe11Mn1O19,66,55,5.29,2.3,"Magnetocaloric effect, Energy-efficient cooling, Environmentally friendly refrigeration"
Flexible magnets for advertising and displays,Marketing,BaM-Comp,Barium Ferrite Composite,BaFe12O19-Polymer,45,38,3.85,1.8,"Flexible magnetic properties, Printable surface, Customizable magnetic strength"
High-precision magnetic bearings,Industrial,BaM-SC,Single Crystal Barium Ferrite,BaFe12O19,75,63,5.38,2.0,"Perfect crystal structure, Low friction, Long service life without lubrication"
Magnetic recording heads,Data Storage,BaM-Thin,Thin Film Barium Ferrite,BaFe12O19,62,52,5.25,2.4,"Controlled film thickness, High read/write resolution, Wear resistance"
Drug delivery systems,Pharmaceutical,BaM-Nano-Coat,Nanocoated Barium Ferrite,BaFe12O19@SiO2,57,48,5.15,2.2,"Targeted drug delivery, Magnetic guidance capability, Biocompatible coating"
Catalysts for chemical reactions,Chemical,BaM-Porous,Porous Barium Ferrite,BaFe12O19,48,40,4.80,1.8,"High surface area, Enhanced catalytic activity, Magnetic recovery capability"
Hyperthermia treatment for cancer,Medical,BaGd-M,Gadolinium-Substituted Barium Ferrite,Ba0.9Gd0.1Fe12O19,70,59,5.34,2.2,"Controlled heat generation, Dual functionality (MRI contrast + therapy), Biocompatibility"
Magnetic ink for secure document printing,Security,BaM-Nano-Rod,Barium Ferrite Nanorods,BaFe12O19,59,49,5.22,2.4,"Unique magnetic signature, Anti-counterfeiting properties, Document authentication capability"
Circulators and isolators in microwave devices,Telecommunications,BaM-W,W-Type Barium Ferrite,BaFe18O27,73,61,5.40,2.1,"Non-reciprocal microwave transmission, Low insertion loss, High isolation ratio"
Antenna components in 5G infrastructure,Telecommunications,BaM-Y,Y-Type Barium Ferrite,Ba2Fe12O22,68,57,5.30,2.2,"High frequency performance, Miniaturization capability, Temperature stability"
