Use-case,Industry,Commercial name,Chemical Name,Chemical Formula,Tensile Strength (MPa),Yield Strength (MPa),Density (g/cm³),Thermal Conductivity (W/m·K),Property Overlap
Solid oxide fuel cell electrolytes,Energy,BiO-Delta,Delta-Phase Bismuth Oxide,δ-Bi2O3,25,20,8.45,0.6,"Highest oxide ion conductivity, High-temperature stability, Excellent ionic transport"
Photocatalytic water treatment,Environmental,BiO-Nano,Nanostructured Bismuth Oxide,Bi2O3,30,24,8.75,0.9,"Enhanced surface area, Superior catalytic activity, Visible light absorption"
Microelectronic devices,Electronics,BiO-Alpha,Alpha-Phase Bismuth Oxide,α-Bi2O3,36,29,8.92,0.8,"Stable dielectric properties, Low thermal conductivity, Controlled band gap"
Gas sensors,Sensors,BiO-Gamma,Gamma-Phase Bismuth Oxide,γ-Bi2O3,28,22,8.55,0.7,"High sensitivity to gases, Fast response time, Excellent selectivity"
Pigments and colorants,Manufacturing,Fe2O3-Alpha,Hematite (Alpha Iron Oxide),α-Fe2O3,55,45,5.24,12.5,"Stable red pigmentation, UV resistance, Non-toxic formulation"
Magnetic recording media,Electronics,Fe3O4-Mag,Magnetite (Iron(II.III) Oxide),Fe3O4,60,50,5.17,9.7,"Ferrimagnetic properties, High coercivity, Excellent thermal stability"
Biomedical imaging contrast agents,Medical,Fe3O4-Nano,Nanostructured Magnetite,Fe3O4,52,42,5.05,9.0,"Superparamagnetic properties, Biocompatibility, Controlled particle size"
Catalytic converters,Automotive,Fe2O3-Nano,Nanostructured Hematite,α-Fe2O3,48,38,5.10,11.8,"Enhanced catalytic activity, Thermal stability, High surface area"
Water purification systems,Environmental,Fe2O3-Alpha,Hematite (Alpha Iron Oxide),α-Fe2O3,55,45,5.24,12.5,"Arsenic adsorption capability, Chemical stability, Regeneration potential"
Magnetic hyperthermia cancer treatment,Medical,Fe3O4-Nano,Nanostructured Magnetite,Fe3O4,52,42,5.05,9.0,"Controlled heating properties, Biocompatibility, Targetable magnetic behavior"
Non-volatile memory devices,Electronics,BFO-100,Bismuth Ferrite,BiFeO3,75,65,8.34,3.5,"Multiferroic properties, Room-temperature operation, Non-volatile data storage"
Spintronics,Advanced Electronics,BFO-Nano,Nanostructured Bismuth Ferrite,BiFeO3,68,58,8.20,3.8,"Magnetoelectric coupling, Spin-polarized transport, Room-temperature functionality"
Photovoltaic solar cells,Renewable Energy,BFO-Thin,Bismuth Ferrite Thin Film,BiFeO3,65,55,8.25,3.2,"Ferroelectric photovoltaic effect, Visible light absorption, Tunable band gap"
Piezoelectric actuators,Sensors,BFO-Nb,Niobium-Doped Bismuth Ferrite,BiFe0.95Nb0.05O3,73,63,8.33,3.5,"Enhanced piezoelectric coefficient, Low leakage current, High displacement precision"
Magnetoelectric sensors,Defense,BFO-Co,Cobalt-Doped Bismuth Ferrite,BiFe0.95Co0.05O3,74,64,8.35,3.4,"Enhanced magnetic sensitivity, Room-temperature operation, Low power consumption"
Terahertz wave generators,Communications,BFO-La,Lanthanum-Doped Bismuth Ferrite,Bi0.9La0.1FeO3,72,62,8.30,3.6,"Enhanced ferroelectric polarization, Improved switching speed, Reduced fatigue"
High-density data storage,Computing,BFO-Gd,Gadolinium-Doped Bismuth Ferrite,Bi0.9Gd0.1FeO3,75,65,8.38,3.3,"Multiple state memory, Enhanced thermal stability, High data retention"
Microwave devices,Telecommunications,BFO-Mn,Manganese-Doped Bismuth Ferrite,BiFe0.95Mn0.05O3,73,63,8.32,3.5,"Tunable dielectric properties, Low dielectric loss, High-frequency operation"
Optical modulators,Photonics,BFO-Ti,Titanium-Doped Bismuth Ferrite,BiFe0.95Ti0.05O3,71,61,8.30,3.6,"Electro-optic effect, Fast switching speed, Low optical loss"
Thermal barrier coatings,Aerospace,BiO-100,Bismuth(III) Oxide,Bi2O3,35,28,8.90,0.8,"Low thermal conductivity, High-temperature stability, Oxidation resistance"
