Use Case,Industry,Commercial Name,Chemical Name,Chemical Formula,Hardness (Shore A),Tensile Strength (MPa),Elongation (%),Temperature Range (°C),Density (g/cm³),Melt Flow Index (g/10 min),Flexural Modulus (MPa),Notched Izod Impact (kJ/m²),Water Absorption (%),Dielectric Strength (kV/mm),Property Overlap,References
Medical Device Housings,Healthcare,Tritan™ MX731,Copolyester,(C14H16O4)n,115-120,50-55,130-150,-40-110,1.19-1.21,8.0-12.0,2000-2200,10.0-12.0,0.2-0.3,14.0-16.0,High clarity; chemical resistance; toughness; color stability,https://www.eastman.com/en/brands/eastman-tritan/tritan-mx731
IV Components,Medical,Tritan™ MX711,Copolyester,(C14H16O4)n,110-115,48-53,150-180,-40-110,1.18-1.20,10.0-14.0,1950-2150,9.0-11.0,0.2-0.3,15.0-17.0,Excellent clarity; chemical resistance; impact resistance; BPA-free,https://www.eastman.com/en/brands/eastman-tritan/tritan-mx711
Blood Contact Devices,Healthcare,Tritan™ MX811,Copolyester,(C14H16O4)n,115-120,50-55,140-160,-40-110,1.19-1.21,7.0-10.0,2000-2200,10.0-12.0,0.2-0.3,14.0-16.0,High impact strength; chemical resistance; crystal clarity; sterilization resistance,https://www.eastman.com/en/brands/eastman-tritan/tritan-mx811
Reusable Water Bottles,Consumer Goods,Tritan™ EX401,Copolyester,(C14H16O4)n,110-115,47-52,140-170,-40-105,1.18-1.20,9.0-13.0,1900-2100,8.0-10.0,0.2-0.3,15.0-17.0,Dishwasher safe; BPA-free; impact resistance; clarity,https://www.eastman.com/en/brands/eastman-tritan/tritan-ex401
Small Appliance Components,Home Appliances,Tritan™ TX1001,Copolyester,(C14H16O4)n,112-117,48-53,130-160,-40-110,1.19-1.21,8.0-12.0,2000-2200,9.0-11.0,0.2-0.3,15.0-17.0,Heat resistance; clarity; toughness; chemical resistance,https://www.eastman.com/en/brands/eastman-tritan/tritan-tx1001
Food Storage Containers,Food & Beverage,Tritan™ TX1501,Copolyester,(C14H16O4)n,110-115,47-52,130-170,-40-105,1.18-1.20,10.0-14.0,1900-2100,8.0-10.0,0.2-0.3,15.0-17.0,Stain resistance; odor resistance; dishwasher durability; BPA-free,https://www.eastman.com/en/brands/eastman-tritan/tritan-tx1501
Sports Bottles,Consumer Goods,Tritan™ TX2001,Copolyester,(C14H16O4)n,112-117,49-54,130-160,-40-105,1.19-1.21,8.0-12.0,1950-2150,9.0-11.0,0.2-0.3,15.0-17.0,Impact resistance; dishwasher safe; odor resistance; color stability,https://www.eastman.com/en/brands/eastman-tritan/tritan-tx2001
Medical Device Packaging,Healthcare,Eastar™ 6763,Copolyester,(C10H8O4)n,108-113,45-50,300-350,-40-85,1.27-1.29,18.0-22.0,1800-2000,4.0-6.0,0.3-0.4,15.0-17.0,Excellent clarity; deep-draw capability; sterilization compatibility,https://www.eastman.com/en/brands/eastar/eastar-6763
Food Packaging,Food & Beverage,Eastar™ 6763,Copolyester,(C10H8O4)n,108-113,45-50,300-350,-40-85,1.27-1.29,18.0-22.0,1800-2000,4.0-6.0,0.3-0.4,15.0-17.0,Crystal clarity; good moisture barrier; thermoformability,https://www.eastman.com/en/brands/eastar/eastar-6763
Blister Packaging,Pharmaceutical,Eastar™ 6763,Copolyester,(C10H8O4)n,108-113,45-50,300-350,-40-85,1.27-1.29,18.0-22.0,1800-2000,4.0-6.0,0.3-0.4,15.0-17.0,Excellent clarity; thermoformability; chemical resistance,https://www.eastman.com/en/brands/eastar/eastar-6763
